Id,FileName,FilePath,FileSize,CreatedAt,ParsedAt,MapName,GameMode,TickRate,TotalTicks,Duration,ServerName,DemoType,NetworkProtocol,ClientName,SignonState
1,Faceit-pug-mirage-april-28th-2025.dem,/Users/timmy/Desktop/Faceit-pug-mirage-april-28th-2025.dem,430041535,"2025-06-14 23:23:22.1164363","2025-06-17 22:18:59.268631",unknown,,64,2895,0.0,,,0,,
2,Faceit-pug-mirage-april-28th-2025.dem,/Users/timmy/Desktop/Faceit-pug-mirage-april-28th-2025.dem,430041535,"2025-06-14 23:23:22.1164363","2025-06-17 22:51:23.565387",,,64,2895,0.0,,,0,,
